Ocol,Data,Proprietar,Status,Nr Apv,Cod UP,Nume UP,Denumire APV,Suprafata totala act (ha),Tratament,Natura Produsului,Tehnologia exploatare,Data inventarierii,Anul Exploatarii,Accesibilitate,Procedeu,Ciocan forma,Ciocan nr,Stancarii,Arbori putregaiosi - nr,Arbori putregaiosi - volum (mc),Iescari - nr,Iescari - volum (mc),UA - denumire,Suprafata totala UA (ha),Suprafata parcursa (ha),Varsta (ani),Panta G,Semintis %,Semintis total,Compozitie,Inaltime semintis,Specia,Volum mediu arbore (mc),Nr arbori,Crestere,G1,G2,G3,M1,M2,M3,Ls,Lemn de lucru (mc),Coaja (mc),Lemn de foc total (mc),Varfuri (mc),Volum brut (mc),dt,dcg,ht,hc
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,65 F,2.38,2.38,79,0,0.0,0.0,0,0.0,Garnita (S),0.26,27,0.0,0.0,0.22,0.0,0.29,0.51,0.48,0.27,1.77,0.42,4.81,0.53,7.0,19.0,19.12,14.36,14.36
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,65 F,2.38,2.38,79,0,0.0,0.0,0,0.0,Salcam (L),0.06,3,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.15,0.02,0.18,11.33,11.33,8.33,8.33
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,65 F,2.38,2.38,79,0,0.0,0.0,0,0.0,Carpen,0.1,4,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.03,0.0,0.52,0.02,0.55,13.0,13.0,10.5,10.5
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,65 F,2.38,2.38,79,0,0.0,0.0,0,0.0,Gorun (S),0.27,115,0.0,0.0,0.75,0.0,1.69,2.57,1.83,0.67,7.51,1.47,21.94,2.9,30.92,18.97,20.21,14.31,14.31
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,65 F,2.38,2.38,79,0,0.0,0.0,0,0.0,Stejar pedunculat (L),0.3,36,0.0,0.0,0.06,0.0,0.31,0.26,0.2,0.09,0.92,0.26,9.0,0.66,10.18,20.53,20.53,14.26,14.26
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,67 D,3.8,3.8,79,10,0.0,0.0,0,0.0,Garnita (S),0.13,115,0.0,0.0,0.17,0.0,0.19,0.4,0.59,0.89,2.24,0.62,13.16,1.61,16.02,13.58,17.78,13.67,13.67
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,67 D,3.8,3.8,79,10,0.0,0.0,0,0.0,Gorun (L),0.28,725,0.0,0.0,6.79,0.0,10.15,12.98,8.83,3.68,42.43,8.14,154.0,14.14,204.57,18.85,23.06,15.22,15.22
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,67 D,3.8,3.8,79,10,0.0,0.0,0,0.0,Jugastru,0.57,3,0.0,0.0,0.14,0.0,0.0,0.0,0.01,0.01,0.16,0.02,1.16,0.06,1.34,26.0,26.0,15.0,15.0
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,67 D,3.8,3.8,79,10,0.0,0.0,0,0.0,Carpen,0.09,122,0.0,0.0,0.0,0.0,0.04,0.29,0.6,0.69,1.62,0.17,9.96,0.84,11.75,13.11,14.74,10.89,10.89
OCOLUL SILVIC STOICENI,18.07.2025,Ocolul Silvic Stoiceni,Aprobat,2500156206580,5,Trepteni,1088 Bungetu 2,31.19,T. produse accidentale I,Produse accidentale,SORTIMENTE SI MULTIPLI DE SORTIMENTE,17.07.2025,2025,251-500,Fir cu fir,CIRCULARA,PS327,0.0,0,0.0,172,43.46,67 D,3.8,3.8,79,10,0.0,0.0,0,0.0,Cer (L),0.07,24,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.15,0.06,1.9,0.17,2.11,11.9,11.9,10.75,10.75
