?Specia,GrupaSpecii,Simbol,SortimentPrimar,GrupaSpeciiSortiment,SortimentIndustrial,SortimentSUMAL,SubsortimentSUMAL,PretFasonat_lei_mc
Alun,Foioase,An,LEMN ROTUND,DT Ce Ca Ju Me,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,500.0
Alun,Foioase,An,LEMN ROTUND,DT Ce Ca Ju Me,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,480.0
Alun,Foioase,An,LEMN ROTUND,DT Ce Ca Ju Me,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,370.0
Alun,Foioase,An,LEMN ROTUND,DT Ce Ca Ju Me,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,370.0
Alun,Foioase,An,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Alun,Foioase,An,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Anin alb,Foioase,An,LEMN ROTUND,DM Te Sa Pl An,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,250.0
Anin alb,Foioase,An,LEMN ROTUND,DM Te Sa Pl An,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,210.0
Anin alb,Foioase,An,LEMN ROTUND,DM Te Sa Pl An,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,160.0
Anin alb,Foioase,An,LEMN ROTUND,DM Te Sa Pl An,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,160.0
Anin alb,Foioase,An,LEMN DE FOC,DM +Rasinoase,LEMN FOC,LEMN DE FOC,LEMN DE FOC,140.0
Anin alb,Foioase,An,LEMN DE FOC,DM +Rasinoase,GR.CRACI,LEMN DE FOC,LEMN DE FOC,90.0
Anin negru,Foioase,An,LEMN ROTUND,DM Te Sa Pl An,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,250.0
Anin negru,Foioase,An,LEMN ROTUND,DM Te Sa Pl An,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,210.0
Anin negru,Foioase,An,LEMN ROTUND,DM Te Sa Pl An,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,160.0
Anin negru,Foioase,An,LEMN ROTUND,DM Te Sa Pl An,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,160.0
Anin negru,Foioase,An,LEMN DE FOC,DM +Rasinoase,LEMN FOC,LEMN DE FOC,LEMN DE FOC,140.0
Anin negru,Foioase,An,LEMN DE FOC,DM +Rasinoase,GR.CRACI,LEMN DE FOC,LEMN DE FOC,90.0
Brad,Rasinoase,Br,LEMN ROTUND,Mo Br Du La,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,480.0
Brad,Rasinoase,Br,LEMN ROTUND,Mo Br Du La,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,380.0
Brad,Rasinoase,Br,LEMN ROTUND,Mo Br Du La,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,280.0
Brad,Rasinoase,Br,LEMN ROTUND,Mo Br Du La,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,280.0
Brad,Rasinoase,Br,LEMN DE FOC,DM +Rasinoase,LEMN FOC,LEMN DE FOC,LEMN DE FOC,140.0
Brad,Rasinoase,Br,LEMN DE FOC,DM +Rasinoase,GR.CRACI,LEMN DE FOC,LEMN DE FOC,90.0
Carpen,Foioase,Ca,LEMN ROTUND,DT Ce Ca Ju Me,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,500.0
Carpen,Foioase,Ca,LEMN ROTUND,DT Ce Ca Ju Me,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,480.0
