idGrupaSp,Grupele de specii,Sortimen industrial,fasonat la cioata (lei/mc)
1,Ci Pa Fr Sb Nu,GATER > 40 CM,550
2,Ci Pa Fr Sb Nu,GATER 24-40 cm,500
3,Ci Pa Fr Sb Nu,CONSTRUCTII (CR),370
4,Ci Pa Fr Sb Nu,PLACI,370
5,ST Go Ga,GATER > 40 CM,630
6,ST Go Ga,GATER 24-40 cm,560
7,ST Go Ga,CONSTRUCTII (CR),390
8,ST Go Ga,PLACI,390
9,Fag,GATER > 40 CM,520
10,Fag,GATER 24-40 cm,480
11,Fag,CONSTRUCTII (CR),370
12,Fag,PLACI,370
13,SC,GATER > 40 CM,530
14,SC,GATER 24-40 cm,510
15,SC,CONSTRUCTII (CR),380
16,SC,PLACI,380
17,DT Ce Ca Ju Me,GATER > 40 CM,500
18,DT Ce Ca Ju Me,GATER 24-40 cm,480
19,DT Ce Ca Ju Me,CONSTRUCTII (CR),370
20,DT Ce Ca Ju Me,PLACI,370
21,DM Te Sa Pl An ,GATER > 40 CM,250
22,DM Te Sa Pl An ,GATER 24-40 cm,210
23,DM Te Sa Pl An ,CONSTRUCTII (CR),160
24,DM Te Sa Pl An ,PLACI,160
25,Mo Br Du La,GATER > 40 CM,480
26,Mo Br Du La,GATER 24-40 cm,380
27,Mo Br Du La,CONSTRUCTII (CR),280
28,Mo Br Du La,PLACI,280
29,Alte Rasinoase,GATER > 40 CM,400
30,Alte Rasinoase,GATER 24-40 cm,330
31,Alte Rasinoase,CONSTRUCTII (CR),240
32,Alte Rasinoase,PLACI,240
33,DT,LEMN FOC,320
34,DT,GR.CRACI,100
35,DM +Rasinoase,LEMN FOC,140
36,DM +Rasinoase,GR.CRACI,90
